"IBM",102.77,"6/11/2007","09:30.00",-0.30,102.87,102.77,102.77,73900
"AA",39.31,"6/11/2007","09:30.00",-0.35,39.67,39.31,39.31,75600
"KO",51.63,"6/11/2007","09:30.00",-0.04,51.67,51.63,51.63,3952150
"MSFT",29.95,"6/11/2007","09:30.00",-0.10,30.05,29.95,29.95,4861715
"T",39.87,"6/11/2007","09:30.00",-0.39,40.20,39.87,39.87,508700
"HPQ",45.59,"6/11/2007","09:30.00",-0.11,45.80,45.59,45.59,121100
"DIS",34.04,"6/11/2007","09:30.00",-0.16,34.28,34.04,34.04,105100
"JNJ",62.08,"6/11/2007","09:30.00",-0.05,62.89,62.08,62.08,253400
"WMT",49.87,"6/11/2007","09:30.00",-0.21,49.90,49.87,49.87,456450
"PFE",26.31,"6/11/2007","09:30.00",-0.21,26.50,26.31,26.31,436150
"XOM",82.64,"6/11/2007","09:30.00",-0.04,82.68,82.64,82.64,144750
"GM",31.50,"6/11/2007","09:30.00",0.50,31.00,31.50,31.50,177454
"PG",62.61,"6/11/2007","09:30.00",-0.46,62.80,62.61,62.61,80754
"HON",57.02,"6/11/2007","09:30.00",-0.36,57.25,57.02,57.02,111800
"BA",98.31,"6/11/2007","09:30.00",0.12,98.25,98.31,98.31,37450
"MMM",85.75,"6/11/2007","09:30.00",-0.19,85.94,85.75,85.75,156100
"MO",70.30,"6/11/2007","09:30.00",0.00,70.25,70.30,70.30,362600
"VZ",42.78,"6/11/2007","09:30.00",-0.29,42.95,42.78,42.78,119300
"AIG",71.26,"6/11/2007","09:30.00",-0.27,71.29,71.26,71.26,73400
"C",52.99,"6/11/2007","09:30.00",-0.34,53.20,52.99,52.99,82500
"GE",37.12,"6/11/2007","09:30.00",-0.20,37.07,37.12,37.12,175900
"JPM",50.25,"6/11/2007","09:30.00",-0.16,50.41,50.25,50.25,185650
"HD",37.62,"6/11/2007","09:30.00",-0.33,37.78,37.62,37.62,114969
"DD",50.60,"6/11/2007","09:30.00",-0.53,51.13,50.60,50.60,9750
"AXP",62.38,"6/11/2007","09:30.00",-0.66,62.79,62.38,62.38,834350
"INTC",21.82,"6/11/2007","09:30.00",-0.01,21.70,21.82,21.82,1796393
"UTX",69.71,"6/11/2007","09:30.00",-0.52,69.85,69.71,69.71,97050
"MRK",49.66,"6/11/2007","09:30.00",-0.48,50.30,49.66,49.66,1254100
"CAT",77.99,"6/11/2007","09:30.00",-0.53,78.32,77.99,77.99,169282
"MCD",50.80,"6/11/2007","09:30.00",-0.61,51.47,50.80,50.80,92400
"AA",39.32,"6/11/2007","09:30.01",-0.34,39.67,39.32,39.31,75894
"XOM",82.63,"6/11/2007","09:30.01",-0.05,82.68,82.64,82.63,145684
"GE",37.13,"6/11/2007","09:30.01",-0.19,37.07,37.13,37.12,177339
"AXP",62.39,"6/11/2007","09:30.01",-0.65,62.79,62.39,62.38,834629
"HPQ",45.60,"6/11/2007","09:30.02",-0.10,45.80,45.60,45.59,122111
"MCD",50.81,"6/11/2007","09:30.05",-0.60,51.47,50.81,50.80,93678
"CAT",78.00,"6/11/2007","09:30.06",-0.52,78.32,78.00,77.99,170217
"MRK",49.67,"6/11/2007","09:30.07",-0.47,50.30,49.67,49.66,1257973
"JNJ",62.09,"6/11/2007","09:30.09",-0.04,62.89,62.09,62.08,256102
"PG",62.62,"6/11/2007","09:30.09",-0.45,62.80,62.62,62.61,86011
"MO",70.29,"6/11/2007","09:30.09",-0.01,70.25,70.30,70.29,365314
"T",39.88,"6/11/2007","09:30.10",-0.38,40.20,39.88,39.87,514789
"DIS",34.05,"6/11/2007","09:30.10",-0.15,34.28,34.05,34.04,107963
"MMM",85.74,"6/11/2007","09:30.10",-0.20,85.94,85.75,85.74,157256
"VZ",42.79,"6/11/2007","09:30.11",-0.28,42.95,42.79,42.78,123028
"DD",50.61,"6/11/2007","09:30.13",-0.52,51.13,50.61,50.60,12897
"MRK",49.68,"6/11/2007","09:30.13",-0.46,50.30,49.68,49.66,1261293
"MCD",50.82,"6/11/2007","09:30.15",-0.59,51.47,50.82,50.80,96234
"HON",57.03,"6/11/2007","09:30.16",-0.35,57.25,57.03,57.02,112829
"AIG",71.27,"6/11/2007","09:30.16",-0.26,71.29,71.27,71.26,78826
"IBM",102.78,"6/11/2007","09:30.17",-0.29,102.87,102.78,102.77,78308
"CAT",78.01,"6/11/2007","09:30.18",-0.51,78.32,78.01,77.99,172087
"HPQ",45.61,"6/11/2007","09:30.19",-0.09,45.80,45.61,45.59,130710
"AXP",62.40,"6/11/2007","09:30.19",-0.64,62.79,62.40,62.38,839662
"MRK",49.69,"6/11/2007","09:30.20",-0.45,50.30,49.69,49.66,1265166
"WMT",49.86,"6/11/2007","09:30.21",-0.22,49.90,49.87,49.86,469268
"PFE",26.32,"6/11/2007","09:30.21",-0.20,26.50,26.32,26.31,459451
"C",53.00,"6/11/2007","09:30.21",-0.33,53.20,53.00,52.99,98739
"AA",39.33,"6/11/2007","09:30.22",-0.33,39.67,39.33,39.31,82089
"MCD",50.83,"6/11/2007","09:30.25",-0.58,51.47,50.83,50.80,98791
"PG",62.63,"6/11/2007","09:30.26",-0.44,62.80,62.63,62.61,95941
"MO",70.28,"6/11/2007","09:30.26",-0.02,70.25,70.30,70.28,370443
"MRK",49.70,"6/11/2007","09:30.26",-0.44,50.30,49.70,49.66,1268486
"JNJ",62.10,"6/11/2007","09:30.27",-0.03,62.89,62.10,62.08,261508
"XOM",82.62,"6/11/2007","09:30.27",-0.06,82.68,82.64,82.62,169983
"T",39.89,"6/11/2007","09:30.29",-0.37,40.20,39.89,39.87,526360
"DIS",34.06,"6/11/2007","09:30.29",-0.14,34.28,34.06,34.04,113403
"MMM",85.73,"6/11/2007","09:30.30",-0.21,85.94,85.75,85.73,159569
"CAT",78.02,"6/11/2007","09:30.30",-0.50,78.32,78.02,77.99,173958
"GM",31.49,"6/11/2007","09:30.31",0.49,31.00,31.50,31.49,223779
"HD",37.63,"6/11/2007","09:30.31",-0.32,37.78,37.63,37.62,125653
"VZ",42.80,"6/11/2007","09:30.33",-0.27,42.95,42.80,42.78,130486
"MRK",49.71,"6/11/2007","09:30.33",-0.43,50.30,49.71,49.66,1272359
"MCD",50.84,"6/11/2007","09:30.34",-0.57,51.47,50.84,50.80,101092
"GE",37.14,"6/11/2007","09:30.35",-0.18,37.07,37.14,37.12,226299
"JPM",50.26,"6/11/2007","09:30.35",-0.15,50.41,50.26,50.25,201735
"UTX",69.72,"6/11/2007","09:30.35",-0.51,69.85,69.72,69.71,102577
"MSFT",29.96,"6/11/2007","09:30.36",-0.09,30.05,29.96,29.95,4932859
"HPQ",45.62,"6/11/2007","09:30.36",-0.08,45.80,45.62,45.59,139309
"DD",50.62,"6/11/2007","09:30.37",-0.51,51.13,50.62,50.60,18707
"AXP",62.41,"6/11/2007","09:30.37",-0.63,62.79,62.41,62.38,844694
"MRK",49.72,"6/11/2007","09:30.39",-0.42,50.30,49.72,49.66,1275679
"PG",62.64,"6/11/2007","09:30.42",-0.43,62.80,62.64,62.61,105288
"MO",70.27,"6/11/2007","09:30.43",-0.03,70.25,70.30,70.27,375571
"CAT",78.03,"6/11/2007","09:30.43",-0.49,78.32,78.03,77.99,175984
"AA",39.34,"6/11/2007","09:30.44",-0.32,39.67,39.34,39.31,88579
"MCD",50.85,"6/11/2007","09:30.44",-0.56,51.47,50.85,50.80,103649
"JNJ",62.11,"6/11/2007","09:30.45",-0.02,62.89,62.11,62.08,266914
"HON",57.04,"6/11/2007","09:30.46",-0.34,57.25,57.04,57.02,114759
"AIG",71.28,"6/11/2007","09:30.46",-0.25,71.29,71.28,71.26,89001
"MRK",49.73,"6/11/2007","09:30.46",-0.41,50.30,49.73,49.66,1279553
"T",39.90,"6/11/2007","09:30.47",-0.36,40.20,39.90,39.87,537322
"DIS",34.07,"6/11/2007","09:30.47",-0.13,34.28,34.07,34.04,118557
"IBM",102.79,"6/11/2007","09:30.51",-0.28,102.87,102.79,102.77,87125
"MMM",85.72,"6/11/2007","09:30.51",-0.22,85.94,85.75,85.72,161998
"HPQ",45.63,"6/11/2007","09:30.52",-0.07,45.80,45.63,45.59,147403
"MRK",49.74,"6/11/2007","09:30.52",-0.40,50.30,49.74,49.66,1282873
"XOM",82.61,"6/11/2007","09:30.54",-0.07,82.68,82.64,82.61,195217
"VZ",42.81,"6/11/2007","09:30.54",-0.26,42.95,42.81,42.78,137605
"MCD",50.86,"6/11/2007","09:30.54",-0.55,51.47,50.86,50.80,106205
"CAT",78.04,"6/11/2007","09:30.55",-0.48,78.32,78.04,77.99,177855
"AXP",62.42,"6/11/2007","09:30.56",-0.62,62.79,62.42,62.38,850006
"PG",62.65,"6/11/2007","09:30.59",-0.42,62.80,62.65,62.61,115219
"MRK",49.75,"6/11/2007","09:30.59",-0.39,50.30,49.75,49.66,1286746
"WMT",49.85,"6/11/2007","09:31.01",-0.23,49.90,49.87,49.85,493685
"PFE",26.33,"6/11/2007","09:31.01",-0.19,26.50,26.33,26.31,503834
"MO",70.26,"6/11/2007","09:31.01",-0.04,70.25,70.30,70.26,381001
"C",53.01,"6/11/2007","09:31.01",-0.32,53.20,53.01,52.99,129673
"DD",50.63,"6/11/2007","09:31.01",-0.50,51.13,50.63,50.60,24517
"INTC",21.83,"6/11/2007","09:31.01",0.00,21.70,21.83,21.82,1911365
"JNJ",62.12,"6/11/2007","09:31.02",-0.01,62.89,62.12,62.08,272020
"MCD",50.87,"6/11/2007","09:31.03",-0.54,51.47,50.87,50.80,108506
"MRK",49.76,"6/11/2007","09:31.05",-0.38,50.30,49.76,49.66,1290066
"AA",39.35,"6/11/2007","09:31.06",-0.31,39.67,39.35,39.31,95069
"T",39.91,"6/11/2007","09:31.06",-0.35,40.20,39.91,39.87,548893
"DIS",34.08,"6/11/2007","09:31.06",-0.12,34.28,34.08,34.04,123997
"CAT",78.05,"6/11/2007","09:31.07",-0.47,78.32,78.05,77.99,179726
"HPQ",45.64,"6/11/2007","09:31.09",-0.06,45.80,45.64,45.59,156002
"GE",37.15,"6/11/2007","09:31.09",-0.17,37.07,37.15,37.12,275259
"JPM",50.27,"6/11/2007","09:31.09",-0.14,50.41,50.27,50.25,217361
"UTX",69.73,"6/11/2007","09:31.09",-0.50,69.85,69.73,69.71,107946
"MMM",85.71,"6/11/2007","09:31.11",-0.23,85.94,85.75,85.71,164312
"MRK",49.77,"6/11/2007","09:31.12",-0.37,50.30,49.77,49.66,1293939
"MCD",50.88,"6/11/2007","09:31.13",-0.53,51.47,50.88,50.80,111063
"AXP",62.43,"6/11/2007","09:31.14",-0.61,62.79,62.43,62.38,855039
